run,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
0,gw,tter,anger,0.387729,39,0.284149,,,,,,0.101662,0.123419,0.156856,,,,0.126877,,,,0.023514
1,gw,oter,anger,0.674242,39,,0.193577,,0.196244,,,,,,0.106308,,,0.100062,,,,0.010640
2,gw,rter,anger,0.266563,39,0.722585,,-0.620117,,,-0.176118,0.310815,0.237087,0.194410,,,,,-0.125361,0.215417,,0.039172
3,gw,tter,fear,0.776428,39,0.317414,0.187098,,,,,,,,0.292267,,,,,,,0.036569
4,gw,oter,fear,0.780187,39,,0.458233,,,,0.110851,,,,0.101133,,,0.122640,,,,0.004554
5,gw,rter,fear,0.772613,39,,,,,-0.231083,,0.335431,,,0.393818,,,,,0.104262,,0.078229
6,gw,tter,sadness,0.558897,39,,,,,-0.203814,,0.403905,0.196437,,,0.187845,,0.183703,-0.101194,0.133235,,0.028375
7,gw,oter,sadness,0.503501,39,,0.140903,,0.127198,,,0.120574,0.116533,,,,,0.123107,,,,0.012731
8,gw,rter,sadness,0.589119,39,,,,,-0.290483,,0.499574,0.185973,,,0.351285,,0.154108,,,,0.024714
9,gw,tter,joy,0.663906,39,-0.670717,0.272712,,,,0.100807,,0.290289,,,0.149362,0.244772,0.603194,-0.136574,,,0.004863
10,gw,oter,joy,0.507054,39,,,,0.344136,,,,,,,,,,,,,0.066851
11,gw,rter,joy,0.646785,39,-0.615438,,,,,,,0.438565,,,,0.421552,0.837258,-0.169254,,,0.037465
