N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_oter_neg,big_oter_pos,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rter_neg,big_rter_pos,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_rted_neg,big_rted_pos,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,big_tmed_neg,big_tmed_pos,intercept
5,gw,rter,sadness,0.544238,39,,0.212803,-1.025561,,0.141333,0.266447,-0.362102,,0.920375,0.178726,,0.056709,,0.084126,0.158696,,,,0.552948,-0.186731,-0.272222,,0.136295,,-0.256354
6,gw,rter,sadness,0.542165,39,,,,,,0.223478,-0.242081,,0.764174,,,0.036874,,0.119875,0.212860,,,,,-0.116028,,,0.132399,,-0.168607
7,gw,rter,sadness,0.581333,39,1.064564,,-0.632098,-0.473002,,0.157705,,-0.191783,0.609720,0.280133,,-0.038639,0.318336,0.100583,0.202445,,-0.061814,0.071997,0.179304,-0.279547,,-0.126479,0.180801,0.021891,-0.129176
8,gw,rter,sadness,0.504349,39,1.014063,,-0.791094,,,0.122099,,-0.193825,0.772285,0.218322,-0.094309,,0.192031,0.131087,0.163577,,-0.066985,,0.344999,-0.214865,,,0.083033,,-0.085041
9,gw,rter,sadness,0.563352,39,0.324662,,,-0.483070,,0.147255,,,0.476739,,,,,,0.368711,,,,,-0.187011,,,0.131464,,-0.054612
10,gw,rter,sadness,0.657660,39,0.942579,,,-0.378962,,,0.753359,,,0.616919,-0.180124,-0.375123,0.419202,,0.350110,,-0.080698,0.118013,,,,-0.109141,0.098059,0.051800,0.035169
11,gw,rter,sadness,0.589900,39,0.742302,,,-0.358609,,,0.806078,,,0.535955,-0.193982,-0.287350,0.465294,,0.445562,,-0.124666,0.080013,,,,-0.120998,0.090514,0.055893,0.042191
12,gw,rter,sadness,0.479989,39,,,,,,,0.293306,,,,-0.089703,,0.355315,,0.627103,,-0.147505,0.046356,,,,,,,0.060631
13,gw,rter,sadness,0.580190,39,0.514870,,-0.331365,-0.156464,,,,,0.331172,,,,0.253008,,0.507020,,-0.102220,,,-0.120065,,,0.056049,,0.032591
14,gw,rter,sadness,0.630969,39,0.583353,-0.188043,,-0.194724,,,,,0.439714,,,,0.310228,,0.528459,,-0.118215,,,-0.130295,,,0.070453,,0.022607
15,gw,rter,sadness,0.632031,39,0.562528,-0.179803,,-0.190661,,,,,0.431390,,,,0.290501,,0.518502,,-0.113379,,,-0.108272,,,0.058815,,0.026247
16,gw,rter,sadness,0.550907,39,0.516478,,-0.382055,-0.227562,,0.050805,,,0.211823,,,,0.193374,,0.544738,,-0.102361,,,,,,,,0.040084
17,gw,rter,sadness,0.701896,39,0.388105,,,-0.198827,,,,,,,,,0.278739,,0.578509,,-0.114039,,,,,,,,0.058725
18,gw,rter,sadness,0.700751,39,0.392474,,,-0.209660,,,,,,,,,0.290088,,0.579987,,-0.114237,,,,,,,,0.058166
19,gw,rter,sadness,0.694877,39,0.396372,,,-0.216439,,,,,,,,,0.283647,,0.575753,,-0.111064,,,,,,,,0.058824
20,gw,rter,sadness,0.455990,39,0.937049,-0.160092,-0.538774,-0.362574,,0.077390,,-0.171914,0.532198,0.308680,,,0.221295,,0.436266,,-0.097314,,,-0.233668,0.172721,,0.085746,,0.005166
21,gw,rter,sadness,0.739407,39,0.441776,,,-0.252838,,,,,,,,,0.312310,,0.621918,,-0.116471,,,,,,,,0.055914
22,gw,rter,sadness,0.704264,39,,,,,,,,,,,,,0.311609,,0.609862,,-0.113063,,,,,,,,0.067665
23,gw,rter,sadness,0.639650,39,,,,,,,,,,0.358115,,,0.201209,,0.575110,,-0.104861,,,,0.192719,,,,0.025077
24,gw,rter,sadness,0.505827,39,0.757687,,-0.592243,-0.194571,,,0.368099,-0.303868,,,,,0.165225,,0.549170,,-0.112003,-0.049689,-0.337656,,0.227938,0.086437,,,0.109041
25,gw,rter,sadness,0.610522,39,0.299670,,,,,,,,,,,,0.179692,,0.613984,,-0.097320,,,,,,,,0.046550
